kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
1;ANOSCOPY;ED;767000;0
2;ASPIRATION;ED;1002000;0
3;Block Pain;ED;2601000;0
4;BODY ANALYZER (BIA);ED;342000;0
5;BONE MARROW PUNCTURE PROCEDURE  (BMP);ED;2464000;0
6;BRONCHOSCOPY;ED;7365000;1698000
7;BRONCHOSCOPY + BIOPSI;ED;9730000;0
8;CATHERIZATION  OR SHEATH OR DRAIN REMOVAL;ED;390000;0
9;CATHETERIZATION PLACEMENT;ED;652000;0
10;CIRCUMCISION;ED;3250000;0
11;COLONOSCOPY;ED;8714000;1379000
12;COLONOSCOPY + BIOPSY;ED;10294000;0
13;ERCP AND PAPILLOTOMY;ED;22326000;3127000
14;ERCP AND SPHINTEROTOMI;ED;13906000;0
15;ERCP AND SPHINTEROTOMI AND COMPLEX STONE EXTRACTION;ED;28395000;0
16;ERCP AND SPHINTEROTOMI AND SIMPLE STONE EXTRACTION;ED;21774000;0
17;ERCP AND SPHINTEROTOMI AND STENT;ED;21774000;0
18;ERCP DIAGNOSTIC;ED;9472000;1327000
19;ESOPHAGOSCOPY;ED;4059000;569000
20;FACET BLOCK MULTI LEVEL (MULTIPLE);ED;6145000;0
21;FACET BLOCK ONE LEVEL;ED;4592000;0
22;FEE I_TABLE 1A_CARDIAC SURGERY;ED;1860000;650000
23;FEE I_TABLE 1A_DENTISTRY;ED;1760000;620000
24;FEE I_TABLE 1A_ENT / OTORHINOLARYNGOLOGY;ED;1520000;530000
25;FEE I_TABLE 1A_GENERAL SURGERY;ED;1390000;490000
26;FEE I_TABLE 1A_NEUROSURGERY;ED;1620000;570000
27;FEE I_TABLE 1A_OBSTETRICS AND GYNECOLOGY;ED;1340000;470000
28;FEE I_TABLE 1A_OPHTHALMOLOGY;ED;1400000;490000
29;FEE I_TABLE 1A_ORTHOPEDIC SURGERY;ED;1430000;500000
30;FEE I_TABLE 1A_PEDIATRIC SURGERY;ED;1450000;510000
31;FEE I_TABLE 1A_PLASTIC SURGERY;ED;1760000;620000
32;FEE I_TABLE 1A_UROLOGICAL SURGERY;ED;1410000;490000
33;FEE I_TABLE 1B_CARDIAC SURGERY;ED;2240000;780000
34;FEE I_TABLE 1B_DENTISTRY;ED;2110000;740000
35;FEE I_TABLE 1B_ENT / OTORHINOLARYNGOLOGY;ED;2240000;780000
36;FEE I_TABLE 1B_GENERAL SURGERY;ED;2480000;870000
37;FEE I_TABLE 1B_NEUROSURGERY;ED;2590000;910000
38;FEE I_TABLE 1B_OBSTETRICS AND GYNECOLOGY;ED;1680000;590000
39;FEE I_TABLE 1B_OPHTHALMOLOGY;ED;2460000;860000
40;FEE I_TABLE 1B_ORTHOPEDIC SURGERY;ED;2150000;750000
41;FEE I_TABLE 1B_PEDIATRIC SURGERY;ED;2420000;850000
42;FEE I_TABLE 1B_PLASTIC SURGERY;ED;2350000;820000
43;FEE I_TABLE 1B_UROLOGICAL SURGERY;ED;2350000;820000
44;FEE I_TABLE 1C_CARDIAC SURGERY;ED;2980000;1040000
45;FEE I_TABLE 1C_DENTISTRY;ED;2460000;860000
46;FEE I_TABLE 1C_ENT / OTORHINOLARYNGOLOGY;ED;3140000;1100000
47;FEE I_TABLE 1C_GENERAL SURGERY;ED;3470000;1210000
48;FEE I_TABLE 1C_NEUROSURGERY;ED;4200000;1470000
49;FEE I_TABLE 1C_OBSTETRICS AND GYNECOLOGY;ED;2520000;880000
50;FEE I_TABLE 1C_OPHTHALMOLOGY;ED;2460000;860000
51;FEE I_TABLE 1C_ORTHOPEDIC SURGERY;ED;3590000;1260000
52;FEE I_TABLE 1C_PEDIATRIC SURGERY;ED;3640000;1270000
53;FEE I_TABLE 1C_PLASTIC SURGERY;ED;2940000;1030000
54;FEE I_TABLE 1C_UROLOGICAL SURGERY;ED;2940000;1030000
55;FEE I_TABLE 2A_CARDIAC SURGERY;ED;3730000;1310000
56;FEE I_TABLE 2A_DENTISTRY;ED;2810000;980000
57;FEE I_TABLE 2A_ENT / OTORHINOLARYNGOLOGY;ED;4040000;1410000
58;FEE I_TABLE 2A_GENERAL SURGERY;ED;4460000;1560000
59;FEE I_TABLE 2A_NEUROSURGERY;ED;5820000;2040000
60;FEE I_TABLE 2A_OBSTETRICS AND GYNECOLOGY;ED;2940000;1030000
61;FEE I_TABLE 2A_OPHTHALMOLOGY;ED;3860000;1350000
62;FEE I_TABLE 2A_ORTHOPEDIC SURGERY;ED;5020000;1760000
63;FEE I_TABLE 2A_PEDIATRIC SURGERY;ED;4850000;1700000
64;FEE I_TABLE 2A_PLASTIC SURGERY;ED;4110000;1440000
65;FEE I_TABLE 2A_UROLOGICAL SURGERY;ED;3530000;1240000
66;FEE I_TABLE 2B_CARDIAC SURGERY;ED;4470000;1560000
67;FEE I_TABLE 2B_DENTISTRY;ED;3160000;1110000
68;FEE I_TABLE 2B_ENT / OTORHINOLARYNGOLOGY;ED;4930000;1730000
69;FEE I_TABLE 2B_GENERAL SURGERY;ED;4950000;1730000
70;FEE I_TABLE 2B_NEUROSURGERY;ED;7430000;2600000
71;FEE I_TABLE 2B_OBSTETRICS AND GYNECOLOGY;ED;3780000;1320000
72;FEE I_TABLE 2B_OPHTHALMOLOGY;ED;4910000;1720000
73;FEE I_TABLE 2B_ORTHOPEDIC SURGERY;ED;6460000;2260000
74;FEE I_TABLE 2B_PEDIATRIC SURGERY;ED;6060000;2120000
75;FEE I_TABLE 2B_PLASTIC SURGERY;ED;5290000;1850000
76;FEE I_TABLE 2B_UROLOGICAL SURGERY;ED;4120000;1440000
77;FEE I_TABLE 2C_CARDIAC SURGERY;ED;5220000;1830000
78;FEE I_TABLE 2C_DENTISTRY;ED;3510000;1230000
79;FEE I_TABLE 2C_ENT / OTORHINOLARYNGOLOGY;ED;6730000;2360000
80;FEE I_TABLE 2C_GENERAL SURGERY;ED;5940000;2080000
81;FEE I_TABLE 2C_NEUROSURGERY;ED;9050000;3170000
82;FEE I_TABLE 2C_OBSTETRICS AND GYNECOLOGY;ED;5040000;1760000
83;FEE I_TABLE 2C_OPHTHALMOLOGY;ED;5970000;2090000
84;FEE I_TABLE 2C_ORTHOPEDIC SURGERY;ED;7890000;2760000
85;FEE I_TABLE 2C_PEDIATRIC SURGERY;ED;7270000;2540000
86;FEE I_TABLE 2C_PLASTIC SURGERY;ED;7050000;2470000
87;FEE I_TABLE 2C_UROLOGICAL SURGERY;ED;5290000;1850000
88;FEE I_TABLE 3A_CARDIAC SURGERY;ED;5960000;2090000
89;FEE I_TABLE 3A_DENTISTRY;ED;5270000;1840000
90;FEE I_TABLE 3A_ENT / OTORHINOLARYNGOLOGY;ED;8070000;2820000
91;FEE I_TABLE 3A_GENERAL SURGERY;ED;6930000;2430000
92;FEE I_TABLE 3A_NEUROSURGERY;ED;10660000;3730000
93;FEE I_TABLE 3A_OBSTETRICS AND GYNECOLOGY;ED;6300000;2210000
94;FEE I_TABLE 3A_OPHTHALMOLOGY;ED;7020000;2460000
95;FEE I_TABLE 3A_ORTHOPEDIC SURGERY;ED;9320000;3260000
96;FEE I_TABLE 3A_PEDIATRIC SURGERY;ED;8480000;2970000
97;FEE I_TABLE 3A_PLASTIC SURGERY;ED;8230000;2880000
98;FEE I_TABLE 3A_UROLOGICAL SURGERY;ED;7060000;2470000
99;FEE I_TABLE 3B_CARDIAC SURGERY;ED;6710000;2350000
100;FEE I_TABLE 3B_DENTISTRY;ED;7020000;2460000
101;FEE I_TABLE 3B_ENT / OTORHINOLARYNGOLOGY;ED;8520000;2980000
102;FEE I_TABLE 3B_GENERAL SURGERY;ED;8420000;2950000
103;FEE I_TABLE 3B_NEUROSURGERY;ED;12920000;4520000
104;FEE I_TABLE 3B_OBSTETRICS AND GYNECOLOGY;ED;7140000;2500000
105;FEE I_TABLE 3B_OPHTHALMOLOGY;ED;7720000;2700000
106;FEE I_TABLE 3B_ORTHOPEDIC SURGERY;ED;10760000;3770000
107;FEE I_TABLE 3B_PEDIATRIC SURGERY;ED;9700000;3400000
108;FEE I_TABLE 3B_PLASTIC SURGERY;ED;9400000;3290000
109;FEE I_TABLE 3B_UROLOGICAL SURGERY;ED;8230000;2880000
110;FEE I_TABLE 3C_CARDIAC SURGERY;ED;7460000;2610000
111;FEE I_TABLE 3C_DENTISTRY;ED;8070000;2820000
112;FEE I_TABLE 3C_ENT / OTORHINOLARYNGOLOGY;ED;8970000;3140000
113;FEE I_TABLE 3C_GENERAL SURGERY;ED;9900000;3470000
114;FEE I_TABLE 3C_NEUROSURGERY;ED;14540000;5090000
115;FEE I_TABLE 3C_OBSTETRICS AND GYNECOLOGY;ED;8400000;2940000
116;FEE I_TABLE 3C_OPHTHALMOLOGY;ED;8420000;2950000
117;FEE I_TABLE 3C_ORTHOPEDIC SURGERY;ED;12190000;4270000
118;FEE I_TABLE 3C_PEDIATRIC SURGERY;ED;10910000;3820000
119;FEE I_TABLE 3C_PLASTIC SURGERY;ED;10580000;3700000
120;FEE I_TABLE 3C_UROLOGICAL SURGERY;ED;9410000;3290000
121;FEE I_TABLE 4A_CARDIAC SURGERY;ED;8950000;3130000
122;FEE I_TABLE 4A_DENTISTRY;ED;9130000;3200000
123;FEE I_TABLE 4A_ENT / OTORHINOLARYNGOLOGY;ED;9420000;3300000
124;FEE I_TABLE 4A_GENERAL SURGERY;ED;10890000;3810000
125;FEE I_TABLE 4A_NEUROSURGERY;ED;16150000;5650000
126;FEE I_TABLE 4A_OBSTETRICS AND GYNECOLOGY;ED;9240000;3230000
127;FEE I_TABLE 4A_OPHTHALMOLOGY;ED;9830000;3440000
128;FEE I_TABLE 4A_ORTHOPEDIC SURGERY;ED;12910000;4520000
129;FEE I_TABLE 4A_PEDIATRIC SURGERY;ED;12120000;4240000
130;FEE I_TABLE 4A_PLASTIC SURGERY;ED;11750000;4110000
131;FEE I_TABLE 4A_UROLOGICAL SURGERY;ED;10580000;3700000
132;FEE I_TABLE 4B_CARDIAC SURGERY;ED;10440000;3650000
133;FEE I_TABLE 4B_DENTISTRY;ED;9480000;3320000
134;FEE I_TABLE 4B_ENT / OTORHINOLARYNGOLOGY;ED;9870000;3450000
135;FEE I_TABLE 4B_GENERAL SURGERY;ED;11880000;4160000
136;FEE I_TABLE 4B_NEUROSURGERY;ED;19390000;6790000
137;FEE I_TABLE 4B_OBSTETRICS AND GYNECOLOGY;ED;10080000;3530000
138;FEE I_TABLE 4B_OPHTHALMOLOGY;ED;10530000;3690000
139;FEE I_TABLE 4B_ORTHOPEDIC SURGERY;ED;14350000;5020000
140;FEE I_TABLE 4B_PEDIATRIC SURGERY;ED;13330000;4670000
141;FEE I_TABLE 4B_PLASTIC SURGERY;ED;12930000;4530000
142;FEE I_TABLE 4B_UROLOGICAL SURGERY;ED;11760000;4120000
143;FEE I_TABLE 4C_CARDIAC SURGERY;ED;11930000;4180000
144;FEE I_TABLE 4C_DENTISTRY;ED;9830000;3440000
